Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
48.7230 -0.0088 0.5464 -5.0086 21.4246 0.3773 -0.0046 0.0403 -0.1140 0.0144 0.0211 -0.0365 0.0147 0.51 sys M
46.2919 0.1370 0.4328 -4.7097 21.0581 0.3870 -0.0047 0.0368 -0.1041 0.0171 0.0335 -0.0595 0.0270 0.52 sys M
47.5969 0.1489 0.3829 -4.2807 20.0760 0.3772 -0.0039 0.0315 -0.0941 0.0134 0.0397 -0.0681 0.0283 0.53 sys M
48.5103 0.1248 0.3886 -4.0219 19.1219 0.3741 -0.0039 0.0318 -0.0943 0.0115 0.0417 -0.0714 0.0300 0.54 sys M
47.0617 0.2003 0.3427 -3.9935 19.2648 0.3815 -0.0041 0.0313 -0.0915 0.0121 0.0505 -0.0878 0.0394 0.55 sys M
47.9002 0.1572 0.3732 -3.8154 17.8605 0.3802 -0.0041 0.0320 -0.0944 0.0113 0.0408 -0.0670 0.0240 0.56 sys M
49.1150 0.0782 0.4887 -4.5668 19.8764 0.3783 -0.0042 0.0339 -0.0974 0.0137 0.0304 -0.0508 0.0190 0.57 sys M
49.9451 0.1037 0.4323 -3.9989 18.2108 0.3716 -0.0039 0.0318 -0.0942 0.0126 0.0354 -0.0602 0.0246 0.58 sys M
50.1287 0.2012 0.3324 -3.2058 15.6080 0.3664 -0.0039 0.0327 -0.0981 0.0177 0.0133 -0.0189 0.0001 0.59 sys M
49.5100 0.1993 0.3903 -3.8043 17.1157 0.3729 -0.0042 0.0344 -0.1008 0.0221 0.0041 -0.0038 -0.0061 0.6 sys M
47.0301 0.2961 0.3665 -3.9702 17.4284 0.3864 -0.0047 0.0328 -0.0906 0.0207 0.0246 -0.0408 0.0138 0.61 sys M
46.9571 0.2268 0.4324 -4.3249 18.4933 0.3932 -0.0048 0.0332 -0.0914 0.0225 0.0162 -0.0255 0.0051 0.62 sys M
45.7187 0.3190 0.3143 -3.5355 16.3535 0.3986 -0.0048 0.0327 -0.0905 0.0195 0.0390 -0.0672 0.0285 0.63 sys M
46.6338 0.3294 0.3122 -3.6994 16.9404 0.3928 -0.0047 0.0327 -0.0892 0.0200 0.0422 -0.0754 0.0360 0.64 sys M
46.7960 0.2184 0.4173 -4.2913 18.3125 0.4005 -0.0048 0.0316 -0.0843 0.0138 0.0632 -0.1146 0.0591 0.65 sys M
45.6059 0.2609 0.3536 -3.7119 16.4744 0.4090 -0.0050 0.0313 -0.0814 0.0161 0.0671 -0.1239 0.0669 0.66 sys M
46.2843 0.1969 0.3840 -3.6001 15.9912 0.4103 -0.0050 0.0321 -0.0828 0.0153 0.0735 -0.1390 0.0800 0.67 sys M
42.7066 0.3391 0.2772 -3.5789 16.5957 0.4304 -0.0057 0.0333 -0.0798 0.0158 0.0981 -0.1852 0.1067 0.68 sys M
42.8015 0.3061 0.3293 -3.7417 16.4765 0.4348 -0.0061 0.0357 -0.0812 0.0203 0.0909 -0.1775 0.1098 0.69 sys M
44.6588 0.3589 0.2756 -3.1211 14.5181 0.4196 -0.0059 0.0374 -0.0881 0.0175 0.0943 -0.1832 0.1126 0.7 sys M
45.4978 0.2369 0.3198 -2.8753 12.9699 0.4238 -0.0058 0.0377 -0.0900 0.0126 0.0997 -0.1911 0.1148 0.71 sys M
44.3791 0.2470 0.2747 -2.2776 10.7861 0.4342 -0.0061 0.0387 -0.0918 0.0106 0.1113 -0.2121 0.1265 0.72 sys M
44.5213 0.3308 0.2335 -2.5761 12.6357 0.4295 -0.0060 0.0393 -0.0953 0.0150 0.1005 -0.1920 0.1141 0.73 sys M
43.3339 0.3496 0.2289 -2.6952 12.6151 0.4397 -0.0064 0.0411 -0.0987 0.0118 0.1138 -0.2135 0.1223 0.74 sys M
45.7745 0.2806 0.3230 -3.0124 12.5836 0.4279 -0.0062 0.0429 -0.1061 0.0132 0.0996 -0.1888 0.1104 0.75 sys M
46.2858 0.2501 0.3239 -2.6897 11.1237 0.4274 -0.0059 0.0399 -0.1008 0.0086 0.1214 -0.2293 0.1336 0.76 sys M
47.1461 0.0565 0.3804 -1.9028 7.5777 0.4368 -0.0058 0.0399 -0.1016 -0.0042 0.1495 -0.2777 0.1579 0.77 sys M
49.8411 -0.0213 0.4353 -2.2574 9.0572 0.4224 -0.0051 0.0374 -0.0989 -0.0067 0.1499 -0.2787 0.1591 0.78 sys M
54.4100 -0.2754 0.6713 -3.3139 10.8614 0.4065 -0.0045 0.0392 -0.1059 -0.0134 0.1536 -0.2881 0.1687 0.79 sys M
59.0571 -0.3916 0.7140 -3.2563 11.6335 0.3792 -0.0031 0.0313 -0.0925 -0.0235 0.1848 -0.3462 0.2023 0.8 sys M
61.5501 -0.4923 0.8257 -3.7049 12.2735 0.3688 -0.0028 0.0301 -0.0892 -0.0258 0.1974 -0.3735 0.2231 0.81 sys M
62.0991 -0.5602 0.8523 -3.3702 9.8550 0.3710 -0.0025 0.0277 -0.0850 -0.0253 0.1895 -0.3572 0.2113 0.82 sys M
63.7402 -0.7486 1.0333 -4.0639 10.5288 0.3743 -0.0026 0.0296 -0.0853 -0.0264 0.1907 -0.3647 0.2234 0.83 sys M
63.1912 -0.7684 1.0572 -4.1343 10.1666 0.3825 -0.0028 0.0301 -0.0846 -0.0226 0.1752 -0.3347 0.2040 0.84 sys M
65.2900 -0.9003 1.2109 -4.7056 10.0344 0.3789 -0.0031 0.0353 -0.0982 -0.0171 0.1415 -0.2745 0.1730 0.85 sys M
69.7586 -0.9059 1.1421 -3.8514 8.3464 0.3466 -0.0015 0.0272 -0.0852 -0.0254 0.1633 -0.3147 0.1963 0.86 sys M
68.7204 -0.7413 1.1610 -4.8929 11.4709 0.3470 -0.0023 0.0323 -0.0945 -0.0166 0.1384 -0.2677 0.1676 0.87 sys M
70.0709 -0.7105 1.1845 -4.9763 11.0263 0.3366 -0.0017 0.0271 -0.0857 -0.0132 0.1197 -0.2317 0.1451 0.88 sys M
71.2247 -0.6095 1.0475 -4.2244 9.2028 0.3239 -0.0008 0.0220 -0.0796 -0.0212 0.1383 -0.2581 0.1496 0.89 sys M
71.0728 -0.5897 0.9540 -3.2255 5.8280 0.3275 -0.0005 0.0181 -0.0707 -0.0200 0.1457 -0.2721 0.1573 0.9 sys M
70.0217 -0.3531 0.6571 -1.1748 0.8060 0.3265 -0.0006 0.0201 -0.0785 -0.0091 0.1053 -0.1976 0.1150 0.91 sys M
70.5203 -0.3866 0.7711 -1.2734 -1.0004 0.3319 -0.0017 0.0287 -0.0920 0.0090 0.0424 -0.0915 0.0678 0.92 sys M
76.3547 -0.7212 0.9341 -1.3303 -1.6526 0.3140 -0.0002 0.0247 -0.0938 -0.0122 0.0896 -0.1740 0.1101 0.93 sys M
90.6025 -1.3557 1.1746 0.1551 -7.7290 0.2521 0.0034 0.0132 -0.0881 -0.0357 0.0885 -0.1674 0.1033 0.94 sys M
102.6662 -1.2263 0.8589 3.2534 -15.7885 0.1576 0.0072 -0.0076 -0.0516 -0.0325 0.0706 -0.1432 0.1009 0.95 sys M
102.9154 -1.5899 1.4523 -0.5061 -7.5933 0.1871 0.0055 0.0020 -0.0596 -0.0411 0.1113 -0.2264 0.1604 0.96 sys M
125.2207 -3.3398 2.9466 -5.4863 -1.9080 0.1438 0.0076 0.0111 -0.0959 -0.1006 0.1222 -0.2249 0.1376 0.97 sys M
125.8697 -3.2997 3.1051 -7.3155 3.4281 0.1505 0.0067 0.0193 -0.1148 -0.0879 0.0819 -0.1569 0.1076 0.98 sys M
99.6314 -2.8535 3.0650 -6.4997 -4.9829 0.3473 -0.0010 0.0499 -0.1346 -0.0354 -0.0379 0.0681 -0.0284 0.99 sys M

